cost,Area,type,no.of bed,Bathrooms,Location
"5,850,000 AED","5,360 sqft",Villa,4,6,"Golf Place, Dubai Hills Estate, Dubai"
"3,600,000 AED","1,542 sqft",Apartment,3,,"Forte 2, Forte, Downtown Dubai, Dubai"
"4,800,000 AED","4,931 sqft",Villa,5,5,"Meadows 7, Meadows, Dubai"
"6,550,000 AED","7,515 sqft",Villa,4,4,"Golf Place, Dubai Hills Estate, Dubai"
"1,520,000 AED","5,000 sqft",Villa,5,7+,"Al Mwaihat 3, Al Mwaihat, Ajman"
"681,000 AED","4,133 sqft",Land,,,"Tilal City C, Tilal City, Sharjah"
"1,275,000 AED","1,054 sqft",Apartment,1,2,"Boulevard Central Tower 1, Boulevard Central Towers, Downtown Dubai, Dubai"
"2,450,000 AED","2,204 sqft",Apartment,3,4,"Al Sahab 2, Al Sahab, Dubai Marina, Dubai"
"7,750,000 AED","6,661 sqft",Villa,6,7,"Novelia, Victory Heights, Dubai Sports City, Dubai"
"980,000 AED",805 sqft,Apartment,1,2,"Boulevard Central Tower 1, Boulevard Central Towers, Downtown Dubai, Dubai"
"6,000,000 AED","15,000 sqft",Villa,7+,7+,"Shakhbout City, Abu Dhabi"
"470,000 AED",959 sqft,Apartment,1,2,"Arezzo 2, Tuscan Residences, Jumeirah Village Circle, Dubai"
"1,500,000 AED","2,439 sqft",Villa,4,5,"Sun, Arabian Ranches 3, Dubai"
"490,000 AED",854 sqft,Apartment,1,1,"Hayat Boulevard, Town Square, Dubai"
"1,800,000 AED","1,073 sqft",Apartment,1,2,"The Address Residence Fountain Views 3, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"1,350,000 AED","3,600 sqft",Villa,5,7,"Al Yasmeen 1, Al Yasmeen, Ajman"
"1,500,000 AED","1,514 sqft",Apartment,2,2,"Tower B, DAMAC Towers by Paramount, Business Bay, Dubai"
"1,198,750 AED","1,750 sqft",Townhouse,2,3,"MAG Eye, District 7, Mohammed Bin Rashid City, Dubai"
"13,100,000 AED","5,000 sqft",Villa,4,3,"Garden Homes Frond O, Garden Homes, Palm Jumeirah, Dubai"
"485,000 AED","1,376 sqft",Apartment,2,3,"Al Naemiya Tower 2, Al Naemiya Towers, Al Naemiyah, Ajman"
"1,756,978 AED","6,436 sqft",Land,,,"Saadiyat Reserve, Saadiyat Island, Abu Dhabi"
"1,425,000 AED","1,908 sqft",Villa,3,4,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"3,350,000 AED","33,000 sqft",Land,,,"Khalifa City C, Khalifa City, Abu Dhabi"
"925,000 AED","1,395 sqft",Apartment,1,2,"The Residences at Business Central, Business Bay, Dubai"
"1,676,853 AED","2,786 sqft",Villa,3,4,"Bayti Townhouses, Al Hamra Village, Ras Al Khaimah"
"2,000,000 AED","2,170 sqft",Apartment,3,4,"Murjan 3, Murjan, Jumeirah Beach Residence, Dubai"
"1,599,999 AED","2,172 sqft",Apartment,3,3,"Marina Crown, Dubai Marina, Dubai"
"2,200,000 AED","2,927 sqft",Townhouse,3,4,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"2,850,000 AED","3,378 sqft",Apartment,3,3,"The Jewel Tower A, The Jewels, Dubai Marina, Dubai"
"3,195,000 AED","2,940 sqft",Villa,3,4,"Club Villas at Dubai Hills, Dubai Hills Estate, Dubai"
"1,398,000 AED","1,168 sqft",Apartment,1,2,"Dubai Creek Residence Tower 2 North, Dubai Creek Harbour (The Lagoons), Dubai"
"2,207,470 AED","3,141 sqft",Townhouse,3,4,"Marbella, Mina Al Arab, Ras Al Khaimah"
"495,000 AED",472 sqft,Apartment,Studio,1,"Lake Terrace, Lake Almas East, Jumeirah Lake Towers, Dubai"
"1,890,000 AED","1,255 sqft",Apartment,2,3,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai"
"699,999 AED",616 sqft,Apartment,Studio,1,"Hyatt Regency Creek Heights Residences, Dubai Healthcare City, Dubai"
"1,497,000 AED","2,080 sqft",Townhouse,3,3,"MAG Eye, District 7, Mohammed Bin Rashid City, Dubai"
"1,699,999 AED","1,991 sqft",Townhouse,3,4,"Al Burooj Residence VII, Jumeirah Village Triangle, Dubai"
"1,540,000 AED",763 sqft,Apartment,1,2,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"549,032 AED",657 sqft,Apartment,1,2,"Golf Views, EMAAR South, Dubai South (Dubai World Central), Dubai"
"1,254,888 AED",959 sqft,Apartment,2,3,"Park Heights 2, Dubai Hills Estate, Dubai"
"2,499,000 AED","1,739 sqft",Apartment,2,4,"Building 5, City Walk, Dubai"
"4,900,000 AED","5,748 sqft",Villa,5,6,"Lailak, Al Raha Golf Gardens, Abu Dhabi"
"1,900,000 AED","1,410 sqft",Apartment,2,3,"Shemara Tower, Marina Promenade, Dubai Marina, Dubai"
"1,700,000 AED","1,783 sqft",Apartment,3,4,"J5, Al Sufouh 2, Al Sufouh, Dubai"
"1,500,000 AED","2,539 sqft",Townhouse,3,4,"Mira Oasis 1, Mira Oasis, Reem, Dubai"
"1,480,888 AED",607 sqft,Apartment,1,2,"Act One | Act Two towers, Opera District, Downtown Dubai, Dubai"
"2,207,470 AED","3,141 sqft",Townhouse,3,4,"Marbella, Mina Al Arab, Ras Al Khaimah"
"495,000 AED",472 sqft,Apartment,Studio,1,"Lake Terrace, Lake Almas East, Jumeirah Lake Towers, Dubai"
"1,540,000 AED",763 sqft,Apartment,1,2,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"549,032 AED",657 sqft,Apartment,1,2,"Golf Views, EMAAR South, Dubai South (Dubai World Central), Dubai"
"2,756,777 AED","2,161 sqft",Villa,3,3,"Jumeirah Luxury, Jumeirah Golf Estates, Dubai"
"1,500,000 AED","1,580 sqft",Apartment,2,4,"Al Anbara, Shoreline Apartments, Palm Jumeirah, Dubai"
"2,450,000 AED","2,462 sqft",Townhouse,4,5,"Maple 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai"
"420,000 AED",719 sqft,Apartment,1,1,"Diamond Views 3, Diamond Views, Jumeirah Village Circle, Dubai"
"1,095,000 AED","1,329 sqft",Apartment,2,3,"Elite Residence, Dubai Marina, Dubai"
"1,680,000 AED","2,551 sqft",Villa,4,5,"Mira Oasis 2, Mira Oasis, Reem, Dubai"
"1,400,000 AED","10,205 sqft",Villa,7,7+,"Al Riffa, Ras Al Khaimah"
"2,700,000 AED","4,198 sqft",Townhouse,5,5,"The Field, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,650,000 AED",868 sqft,Apartment,1,2,"Marina Gate 1, Marina Gate, Dubai Marina, Dubai"
"854,999 AED","1,057 sqft",Apartment,1,2,"Ubora Tower 1, Ubora Towers, Business Bay, Dubai"
"579,999 AED",595 sqft,Apartment,1,1,"Mudon Views, Mudon, Dubai"
"2,100,000 AED","1,416 sqft",Apartment,1,2,"Mamsha Al Saadiyat, Saadiyat Cultural District, Saadiyat Island, Abu Dhabi"
"1,254,888 AED",959 sqft,Apartment,2,3,"Park Heights 2, Dubai Hills Estate, Dubai"
"2,499,000 AED","1,739 sqft",Apartment,2,4,"Building 5, City Walk, Dubai"
"4,900,000 AED","5,748 sqft",Villa,5,6,"Lailak, Al Raha Golf Gardens, Abu Dhabi"
"1,450,000 AED","1,690 sqft",Villa,2,2,"Springs 9, The Springs, Dubai"
"1,900,000 AED","1,410 sqft",Apartment,2,3,"Shemara Tower, Marina Promenade, Dubai Marina, Dubai"
"1,700,000 AED","1,783 sqft",Apartment,3,4,"J5, Al Sufouh 2, Al Sufouh, Dubai"
"5,400,000 AED","4,373 sqft",Apartment,3,4,"LIV Residence, Dubai Marina, Dubai"
"1,160,000 AED","2,786 sqft",Townhouse,3,5,"Bayti Townhouses, Al Hamra Village, Ras Al Khaimah"
"790,000 AED",865 sqft,Apartment,1,1,"Princess Tower, Dubai Marina, Dubai"
"820,000 AED",866 sqft,Apartment,1,2,"Indigo Tower, Lake Almas East, Jumeirah Lake Towers, Dubai"
"1,500,000 AED","2,539 sqft",Townhouse,3,4,"Mira Oasis 1, Mira Oasis, Reem, Dubai"
"1,100,000 AED","2,495 sqft",Duplex,2,3,"Fortunato, Jumeirah Village Circle, Dubai"
"675,000 AED",737 sqft,Apartment,1,1,"Elite Residence, Dubai Marina, Dubai"
"1,010,000 AED","1,407 sqft",Apartment,2,3,"Hilliana Tower, Acacia Avenues, Al Sufouh, Dubai"
"1,200,000 AED",953 sqft,Apartment,1,2,"Beauport Tower, Marina Promenade, Dubai Marina, Dubai"
"1,248,975 AED",793 sqft,Apartment,2,2,"Sobha Creek Vistas, Sobha Hartland, Mohammed Bin Rashid City, Dubai"
"1,200,000 AED","1,766 sqft",Apartment,3,4,"Masakin Al Furjan, South Village, Al Furjan, Dubai"
"16,267,888 AED","28,365 sqft",Land,,,"Dubai Hills View, Dubai Hills Estate, Dubai"
"2,100,000 AED","1,049 sqft",Apartment,1,2,"Armani Residence, Burj Khalifa Area, Downtown Dubai, Dubai"
"1,480,888 AED",607 sqft,Apartment,1,2,"Act One | Act Two towers, Opera District, Downtown Dubai, Dubai"
"1,300,000 AED","1,776 sqft",Townhouse,2,3,"Arabella Townhouses 2, Arabella Townhouses, Mudon, Dubai"
"9,207,455 AED","7,500 sqft",Land,,,"Emerald Hills, Dubai Hills Estate, Dubai"
"1,937,777 AED","1,411 sqft",Villa,2,3,"Al Jurf, Ghantoot, Abu Dhabi"
"520,000 AED",702 sqft,Apartment,1,1,"Marina Park, Dubai Marina, Dubai"
"290,000 AED",407 sqft,Apartment,Studio,1,"The Pulse, Dubai South (Dubai World Central), Dubai"
"4,499,888 AED","6,924 sqft",Villa,5,5,"The Aldea, The Villa, Dubai"
"1,273,356 AED","1,819 sqft",Apartment,3,3,"Northbay Residences, Mina Al Arab, Ras Al Khaimah"
"13,500,000 AED","13,168 sqft",Villa,6,7+,"District One Villas, District One, Mohammed Bin Rashid City, Dubai"
"1,060,000 AED","15,180 sqft",Land,,,"Basateen Al Tai, Al Tai, Sharjah"
"72,895,000 AED","17,712 sqft",Penthouse,5,5,"Dorchester Collection Dubai, Business Bay, Dubai"
"270,000 AED","3,000 sqft",Land,,,"Al Helio 2, Al Helio, Ajman"
"546,692 AED",654 sqft,Apartment,1,2,"Golf Views, EMAAR South, Dubai South (Dubai World Central), Dubai"
"3,350,000 AED","1,780 sqft",Apartment,2,3,"Diamond, Tiara Residences, Palm Jumeirah, Dubai"
"3,100,000 AED","1,700 sqft",Apartment,2,3,"Building 1, City Walk, Dubai"
"880,000 AED",865 sqft,Apartment,1,1,"8 Boulevard Walk, Mohammad Bin Rashid Boulevard, Downtown Dubai, Dubai"
"3,400,000 AED","4,348 sqft",Villa,4,6,"Bawabat Al Sharq, Baniyas East, Baniyas, Abu Dhabi"
"15,000,000 AED","30,000 sqft",Land,,,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai"
"1,500,000 AED","2,286 sqft",Townhouse,3,4,"Mira Oasis 3, Mira Oasis, Reem, Dubai"
"72,895,000 AED","17,712 sqft",Penthouse,5,5,"Dorchester Collection Dubai, Business Bay, Dubai"
"15,895,000 AED","4,008 sqft",Apartment,2,2,"Dorchester Collection Dubai, Business Bay, Dubai"
"2,999,999 AED","4,700 sqft",Villa,5,4,"The Aldea, The Villa, Dubai"
"2,000,000 AED","2,120 sqft",Apartment,3,4,"Al Fattan Marine Tower, Al Fattan Marine Towers, Jumeirah Beach Residence, Dubai"
"2,600,000 AED","1,821 sqft",Apartment,3,3,"Downtown Views II, Downtown Dubai, Dubai"
"3,750,000 AED","2,695 sqft",Duplex,4,5,"Global Lake View, Lake Almas East, Jumeirah Lake Towers, Dubai"
"759,000 AED",900 sqft,Apartment,2,3,"Rigel, Jumeirah Village Circle, Dubai"
"700,000 AED",799 sqft,Apartment,1,2,"Belgravia Square, Jumeirah Village Circle, Dubai"
"1,850,000 AED","1,070 sqft",Apartment,1,1,"Serenia Residences North, Serenia Residences The Palm, Palm Jumeirah, Dubai"
"3,100,000 AED","2,318 sqft",Apartment,2,3,"BLVD Heights Tower 1, BLVD Heights, Downtown Dubai, Dubai"
"3,350,000 AED","1,780 sqft",Apartment,2,3,"Diamond, Tiara Residences, Palm Jumeirah, Dubai"
"18,500,000 AED","9,686 sqft",Villa,7,7,"Fairway Vistas, Dubai Hills, Dubai Hills Estate, Dubai"
"3,100,000 AED","1,700 sqft",Apartment,2,3,"Building 1, City Walk, Dubai"
"850,000 AED",775 sqft,Apartment,1,2,"Marina Quay West, Marina Quays, Dubai Marina, Dubai"
"270,000 AED","3,000 sqft",Land,,,"Al Helio 2, Al Helio, Ajman"
"950,000 AED","1,041 sqft",Apartment,1,2,"Ocean Heights, Dubai Marina, Dubai"
"1,275,000 AED","1,435 sqft",Apartment,2,4,"Green Lake Tower 2, Green Lake Towers, Jumeirah Lake Towers, Dubai"
"24,000,000 AED","34,000 sqft",Whole Building,,7+,"Shabia, Mussafah, Abu Dhabi"
"1,099,000 AED","1,766 sqft",Townhouse,2,3,"Amaranta, Villanova, Dubai Land, Dubai"
"1,329,950 AED",891 sqft,Apartment,1,1,"Paloma Tower, Marina Promenade, Dubai Marina, Dubai"
"790,000 AED",758 sqft,Apartment,1,2,"Indigo Tower, Lake Almas East, Jumeirah Lake Towers, Dubai"
"1,450,000 AED","2,042 sqft",Apartment,2,4,"Marina Residences 4, Marina Residences, Palm Jumeirah, Dubai"
"2,200,000 AED","1,200 sqft",Apartment,2,3,"The Residences at District One, Mohammed Bin Rashid City, Dubai"
"850,000 AED",645 sqft,Apartment,1,2,"Park Heights 2, Dubai Hills Estate, Dubai"
"7,500,000 AED","7,371 sqft",Villa,5,6,"Millennium Estates, Meydan Gated Community, Meydan, Dubai"
"1,300,000 AED","2,180 sqft",Villa,3,3,"Mira 3, Mira, Reem, Dubai"
"650,000 AED",619 sqft,Apartment,1,1,"Mayfair Residency, Business Bay, Dubai"
"55,000,000 AED","22,980 sqft",Villa,7,7,"Sweden, The World Islands, Dubai"
"850,000 AED",591 sqft,Apartment,1,1,"Studio One, Dubai Marina, Dubai"
"1,800,000 AED","4,700 sqft",Villa,3,5,"Shamal Terraces, Jumeirah Village Circle, Dubai"
"6,500,000 AED","5,644 sqft",Penthouse,4,5,"23 Marina, Dubai Marina, Dubai"
"546,692 AED",654 sqft,Apartment,1,2,"Golf Views, EMAAR South, Dubai South (Dubai World Central), Dubai"
Ask for price,"3,200 sqft",Villa,5,7+,"Al Yasmeen 1, Al Yasmeen, Ajman"
"720,000 AED",542 sqft,Apartment,Studio,1,"Silverene Tower B, Silverene, Dubai Marina, Dubai"
"1,128,340 AED","1,962 sqft",Apartment,3,3,"Arabian Gates, Dubai Silicon Oasis, Dubai"
"3,600,000 AED","2,081 sqft",Apartment,3,4,"Boulevard Point, Downtown Dubai, Dubai"
"1,700,000 AED","1,744 sqft",Apartment,3,3,"Tower A, DAMAC Towers by Paramount, Business Bay, Dubai"
"1,500,000 AED","1,691 sqft",Villa,2,2,"Al Reem 1, Al Reem, Arabian Ranches, Dubai"
"2,600,000 AED","3,063 sqft",Villa,3,3,"Regional, Jumeirah Park, Dubai"
"1,850,000 AED","2,975 sqft",Villa,4,4,"Mira Oasis 2, Mira Oasis, Reem, Dubai"
"484,000 AED","1,111 sqft",Villa,1,2,"Rukan, Dubai"
"4,400,000 AED","4,986 sqft",Villa,5,5,"Samara, Arabian Ranches 2, Dubai"
"2,000,000 AED",858 sqft,Apartment,1,2,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"12,000,000 AED","13,172 sqft",Villa,6,7+,"Jasmine Leaf 3, Jasmine Leaf, Al Barari, Dubai"
"399,000 AED",644 sqft,Apartment,Studio,1,"Spring Oasis, Dubai Silicon Oasis, Dubai"
"7,000,000 AED","2,303 sqft",Villa,3,4,"The Residences 9, The Residences, Downtown Dubai, Dubai"
Ask for price,"1,690 sqft",Villa,2,3,"Springs 12, The Springs, Dubai"
"3,000,000 AED","1,957 sqft",Apartment,3,4,"Boulevard Crescent 1, BLVD Crescent, Downtown Dubai, Dubai"
"310,000 AED",731 sqft,Apartment,1,1,"Royal Breeze 5, Royal Breeze, Al Hamra Village, Ras Al Khaimah"
"1,795,000 AED","2,193 sqft",Villa,3,3,"Reem Community, Arabian Ranches 2, Dubai"
"7,000,000 AED","22,500 sqft",Villa,7+,7+,"Mohamed Bin Zayed Centre, Mohamed Bin Zayed City, Abu Dhabi"
"1,550,000 AED","2,354 sqft",Townhouse,4,5,"Harmony, Tilal Al Ghaf, Dubai"
"1,370,888 AED",746 sqft,Apartment,1,2,"Marina Vista, EMAAR Beachfront, Dubai Harbour, Dubai"
"1,261,142 AED",742 sqft,Apartment,1,2,"The Residences at District One, Mohammed Bin Rashid City, Dubai"
"1,250,000 AED","1,210 sqft",Apartment,2,3,"Continental Tower, Dubai Marina, Dubai"
"1,400,000 AED","1,227 sqft",Apartment,2,4,"Continental Tower, Dubai Marina, Dubai"
"699,000 AED",775 sqft,Apartment,1,2,"Golf View Residence, Dubai Sports City, Dubai"
Ask for price,"18,000 sqft",Villa,7+,7+,"Mazyad Mall Tower 2, Mazyad Mall, Mohamed Bin Zayed City, Abu Dhabi"
"1,500,000 AED","1,877 sqft",Apartment,3,4,"Sadaf 2, Sadaf, Jumeirah Beach Residence, Dubai"
"2,450,000 AED","2,560 sqft",Apartment,3,5,"Al Badia Hillside Village, Dubai Festival City, Dubai"
"620,000 AED",744 sqft,Apartment,1,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"5,782,409 AED","10,708 sqft",Land,,,"Nareel Island, Abu Dhabi"
"10,200,000 AED","10,085 sqft",Villa,6,6,"Saadiyat Beach Villas, Saadiyat Beach, Saadiyat Island, Abu Dhabi"
"999,999 AED",945 sqft,Apartment,1,2,"Hilliana Tower, Acacia Avenues, Al Sufouh, Dubai"
"1,400,000 AED","1,881 sqft",Townhouse,3,3,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"1,150,000 AED","1,300 sqft",Apartment,2,3,"Ocean Heights, Dubai Marina, Dubai"
"1,875,000 AED","1,008 sqft",Apartment,1,2,"Serenia Residences North, Serenia Residences The Palm, Palm Jumeirah, Dubai"
"1,200,000 AED","1,085 sqft",Apartment,2,3,"Artesia D, Artesia, DAMAC Hills (Akoya by DAMAC), Dubai"
"2,990,000 AED","1,949 sqft",Apartment,3,4,"Damac Heights, Dubai Marina, Dubai"
"325,000 AED",390 sqft,Apartment,Studio,1,"MAG 565, MAG 5, Dubai South (Dubai World Central), Dubai"
"1,599,950 AED","1,324 sqft",Apartment,2,2,"Al Majara 1, Al Majara, Dubai Marina, Dubai"
"3,800,000 AED","4,170 sqft",Villa,4,5,"Meadows 8, Meadows, Dubai"
"500,000 AED",589 sqft,Apartment,1,1,"Hayat Boulevard, Town Square, Dubai"
"2,990,000 AED","1,949 sqft",Apartment,3,4,"Damac Heights, Dubai Marina, Dubai"
"325,000 AED",390 sqft,Apartment,Studio,1,"MAG 565, MAG 5, Dubai South (Dubai World Central), Dubai"
"1,599,950 AED","1,324 sqft",Apartment,2,2,"Al Majara 1, Al Majara, Dubai Marina, Dubai"
"4,521,000 AED","7,531 sqft",Land,,,"La Mer South Island, La Mer, Jumeirah, Dubai"
"800,000 AED",728 sqft,Apartment,1,1,"Harbour Views 1, Dubai Creek Harbour (The Lagoons), Dubai"
"2,100,000 AED","2,834 sqft",Villa,4,4,"Mira Oasis 1, Mira Oasis, Reem, Dubai"
"525,000 AED",898 sqft,Apartment,1,2,"Rose 2, Emirates Gardens 1, Jumeirah Village Circle, Dubai"
"2,049,999 AED","2,690 sqft",Villa,2,4,"Mediterranean Villas, Jumeirah Village Triangle, Dubai"
"950,000 AED","1,100 sqft",Apartment,Studio,1,"Executive Tower J, Executive Towers, Business Bay, Dubai"
"1,700,000 AED","2,554 sqft",Villa,3,3,"Mira 2, Mira, Reem, Dubai"
"330,000 AED",440 sqft,Apartment,Studio,1,"Ritaj Tower, Dubai Investment Park, Dubai"
"1,800,000 AED","2,723 sqft",Townhouse,3,4,"Pelham, Akoya Park, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,000,000 AED","1,305 sqft",Apartment,2,3,"Princess Tower, Dubai Marina, Dubai"
"1,300,000 AED","1,349 sqft",Apartment,2,2,"Tanaro, The Views, Dubai"
"1,650,000 AED","3,600 sqft",Villa,4,3,"The Townhouses at Al Hamra Village, Al Hamra Village, Ras Al Khaimah"
"46,000,000 AED","33,000 sqft",Villa,7,7+,"Sector H, Emirates Hills, Dubai"
"430,000 AED",980 sqft,Apartment,1,2,"Building 38 to Building 107, Mediterranean Cluster, Discovery Gardens, Dubai"
"1,200,000 AED","2,147 sqft",Townhouse,3,4,"La Rosa, Villanova, Dubai Land, Dubai"
"10,300,000 AED","8,689 sqft",Apartment,7+,7+,"Tower A, DAMAC Towers by Paramount, Business Bay, Dubai"
"1,190,000 AED","2,236 sqft",Townhouse,3,4,"Hayat Townhouses, Town Square, Dubai"
"1,500,000 AED","1,583 sqft",Apartment,2,3,"Al Tamr, Shoreline Apartments, Palm Jumeirah, Dubai"
"1,050,000 AED",662 sqft,Apartment,1,2,"No.9, Dubai Marina, Dubai"
"1,400,000 AED","1,881 sqft",Townhouse,3,3,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"1,350,000 AED","1,690 sqft",Apartment,2,3,"Green Lake Tower 3, Green Lake Towers, Jumeirah Lake Towers, Dubai"
"5,782,409 AED","10,708 sqft",Land,,,"Nareel Island, Abu Dhabi"
"1,600,000 AED","1,180 sqft",Apartment,2,2,"Forte 2, Forte, Downtown Dubai, Dubai"
"1,495,000 AED","1,144 sqft",Apartment,1,1,"Jash Falqa, Shoreline Apartments, Palm Jumeirah, Dubai"
"1,580,000 AED","5,500 sqft",Villa,5,7+,"Al Mwaihat 2, Al Mwaihat, Ajman"
"1,800,000 AED","2,524 sqft",Villa,4,4,"Mira 5, Mira, Reem, Dubai"
Ask for price,"3,000 sqft",Villa,5,7,"Al Yasmeen 1, Al Yasmeen, Ajman"
"1,750,000 AED","2,347 sqft",Villa,3,3,"Mira 2, Mira, Reem, Dubai"
"2,400,000 AED","5,437 sqft",Villa,5,6,"Al Khail Heights, Dubai"
"2,950,000 AED","3,880 sqft",Villa,4,5,"Al Salam, Mudon, Dubai"
"10,200,000 AED","10,085 sqft",Villa,6,6,"Saadiyat Beach Villas, Saadiyat Beach, Saadiyat Island, Abu Dhabi"
"1,150,000 AED","1,300 sqft",Apartment,2,3,"Ocean Heights, Dubai Marina, Dubai"
"1,875,000 AED","1,008 sqft",Apartment,1,2,"Serenia Residences North, Serenia Residences The Palm, Palm Jumeirah, Dubai"
"1,200,000 AED","1,085 sqft",Apartment,2,3,"Artesia D, Artesia, DAMAC Hills (Akoya by DAMAC), Dubai"
"1,300,000 AED","1,270 sqft",Apartment,2,2,"Churchill Residency Tower, Churchill Towers, Business Bay, Dubai"
"1,290,000 AED","1,099 sqft",Apartment,1,2,"RP Heights, Downtown Dubai, Dubai"
"12,650,000 AED","5,049 sqft",Penthouse,4,5,"One at Palm Jumeirah, Palm Jumeirah, Dubai"
"3,160,000 AED","4,200 sqft",Villa,3,4,"Rahat, Mudon, Dubai"
"2,100,000 AED","3,060 sqft",Villa,3,3,"Al Reem 3, Al Reem, Arabian Ranches, Dubai"
"1,590,000 AED","2,233 sqft",Townhouse,3,4,"Cherrywoods, Dubai Land, Dubai"
"1,999,000 AED","2,690 sqft",Townhouse,2,2,"Mediterranean Villas, Jumeirah Village Triangle, Dubai"
"625,000 AED",482 sqft,Apartment,Studio,1,"Al Murad Tower, Al Barsha 1, Al Barsha, Dubai"
"1,200,000 AED","2,800 sqft",Villa,2,2,"The Cove Rotana, Ras Al Khaimah Waterfront, Ras Al Khaimah"
"2,450,000 AED","2,899 sqft",Villa,4,5,"La Quinta, Villanova, Dubai Land, Dubai"
"5,500,000 AED","7,163 sqft",Villa,5,6,"Jumeirah Park Homes, Jumeirah Park, Dubai"
"1,250,000 AED","1,270 sqft",Apartment,2,2,"Churchill Residency Tower, Churchill Towers, Business Bay, Dubai"
"959,999 AED",700 sqft,Apartment,1,1,"Forte 1, Forte, Downtown Dubai, Dubai"
"1,161,828 AED",833 sqft,Apartment,1,2,"Wilton Park Residences, Mohammed Bin Rashid City, Dubai"
"2,100,000 AED","1,663 sqft",Apartment,2,3,"Marina Arcade Tower, Dubai Marina, Dubai"
"11,750,000 AED","8,286 sqft",Villa,6,7,"Fairway Vistas, Dubai Hills, Dubai Hills Estate, Dubai"
"345,000 AED",477 sqft,Apartment,Studio,1,"Elite Sports Residence 10, Elite Sports Residence, Dubai Sports City, Dubai"
"3,450,000 AED","1,790 sqft",Apartment,3,5,"The 8, The Crescent, Palm Jumeirah, Dubai"
"6,000,000 AED","1,926 sqft",Apartment,2,3,"Armani Residence, Burj Khalifa Area, Downtown Dubai, Dubai"
Ask for price,"2,650 sqft",Townhouse,4,5,"Al Rahmaniya 1, Al Rahmaniya, Sharjah"
"625,000 AED",482 sqft,Apartment,Studio,1,"Al Murad Tower, Al Barsha 1, Al Barsha, Dubai"
"1,200,000 AED","2,800 sqft",Villa,2,2,"The Cove Rotana, Ras Al Khaimah Waterfront, Ras Al Khaimah"
"5,500,000 AED","7,163 sqft",Villa,5,6,"Jumeirah Park Homes, Jumeirah Park, Dubai"
"8,999,950 AED","6,124 sqft",Villa,6,6,"Hattan 2, Hattan, The Lakes, Dubai"
"800,000 AED",448 sqft,Apartment,Studio,1,"Liberty House, DIFC, Dubai"
"2,300,000 AED","1,358 sqft",Apartment,2,3,"The 8, The Crescent, Palm Jumeirah, Dubai"
"3,090,000 AED","1,714 sqft",Apartment,3,4,"Downtown Views, Downtown Dubai, Dubai"
"3,160,000 AED","4,200 sqft",Villa,3,4,"Rahat, Mudon, Dubai"
"1,500,000 AED","2,530 sqft",Villa,2,3,"Marbella, Mina Al Arab, Ras Al Khaimah"
"2,200,000 AED","1,455 sqft",Apartment,2,3,"The Address Residence Fountain Views 1, The Address Residence Fountain Views, Downtown Dubai, Dubai"
Ask for price,"14,000 sqft",Villa,5,7,"Al Hamra Lagoon, Al Hamra Village, Ras Al Khaimah"
"11,675,888 AED","8,488 sqft",Villa,6,6,"Golf Place, Dubai Hills Estate, Dubai"
"2,450,000 AED","2,899 sqft",Villa,4,5,"La Quinta, Villanova, Dubai Land, Dubai"
"2,100,000 AED","3,060 sqft",Villa,3,3,"Al Reem 3, Al Reem, Arabian Ranches, Dubai"
"750,701 AED",770 sqft,Apartment,1,2,"MBL Residences, Jumeirah Lake Towers, Dubai"
"1,600,000 AED","2,233 sqft",Townhouse,3,4,"Cherrywoods, Dubai Land, Dubai"
"1,100,000 AED",745 sqft,Apartment,1,2,"Beach Vista, EMAAR Beachfront, Dubai Harbour, Dubai"
"1,099,900 AED",813 sqft,Apartment,1,2,"Park Tower B, Park Towers, DIFC, Dubai"
"820,000 AED",640 sqft,Apartment,1,1,"Goldcrest Executive, Lake Almas West, Jumeirah Lake Towers, Dubai"
